FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
-16,4,-17,-11,-11,-3,-14,-13,31,37,25,20,21,23,34,-7,-13,7,-35,-527,1
-12,6,-16,-15,-7,-4,-22,-10,33,39,27,20,23,29,37,-17,-10,10,-20,-490,0
-5,12,-12,-15,-3,-4,-26,-7,34,39,29,21,26,34,41,-23,-4,11,-3,-455,-2
1,18,-9,-12,0,-2,-29,-4,35,36,31,21,27,38,44,-26,3,12,14,-423,-3
6,20,-7,-11,2,0,-34,-2,35,32,30,20,26,37,43,-28,9,13,30,-393,-4
6,17,-9,-13,3,0,-45,-3,34,28,26,17,22,32,38,-31,11,13,42,-366,-5
2,8,-13,-17,1,0,-59,-7,32,24,19,12,16,24,30,-34,8,12,51,-341,-5
-2,0,-16,-21,0,2,-70,-9,29,19,11,6,9,16,21,-36,3,10,58,-318,-5
-4,-1,-15,-18,2,10,-71,-8,25,13,5,3,4,10,14,-35,1,6,65,-293,-5
-2,3,-10,-11,5,21,-63,-1,23,9,3,3,3,6,10,-31,3,3,73,-265,-4
0,10,-3,-1,9,33,-49,6,23,5,1,4,3,3,7,-26,8,0,79,-235,-4
2,16,2,7,12,42,-34,12,22,1,0,4,3,0,4,-20,13,-1,83,-204,-5
1,19,4,14,12,47,-21,16,20,-2,-3,3,1,-4,0,-15,15,-4,86,-174,-7
-1,18,4,17,10,48,-10,14,16,-6,-7,1,-3,-10,-3,-10,12,-6,87,-145,-9
-5,15,2,19,7,48,-3,10,12,-10,-12,-1,-9,-14,-7,-5,5,-9,88,-119,-11
-7,12,1,21,5,47,3,5,7,-14,-16,-2,-14,-17,-10,0,0,-12,89,-94,-12
-8,11,1,23,3,46,9,3,5,-16,-18,-2,-16,-18,-11,4,-4,-14,88,-69,-13
-9,8,0,22,3,42,11,2,4,-18,-18,-2,-16,-19,-12,7,-4,-15,86,-44,-14
-10,5,-1,18,3,37,8,1,4,-17,-17,-2,-15,-19,-12,7,-2,-14,81,-20,-14
-12,0,-4,11,3,28,0,0,3,-16,-17,-4,-13,-20,-14,3,-1,-11,75,0,-14
-14,-5,-8,2,3,19,-10,-3,2,-15,-16,-7,-13,-20,-15,-2,-2,-8,71,19,-14
-14,-8,-11,-7,3,11,-22,-9,1,-14,-14,-10,-12,-19,-16,-9,-6,-5,71,36,-14
-12,-9,-13,-16,4,5,-31,-14,0,-13,-13,-13,-11,-16,-15,-18,-9,-2,74,52,-13
-9,-6,-14,-23,6,0,-40,-18,0,-12,-11,-15,-8,-11,-12,-27,-10,0,80,68,-11
-7,-4,-14,-29,8,-4,-47,-19,2,-10,-9,-17,-4,-5,-10,-38,-9,3,86,85,-10
-5,-2,-15,-36,9,-9,-54,-18,5,-6,-8,-18,0,1,-7,-48,-4,6,89,103,-9
-4,0,-17,-41,11,-13,-61,-16,10,-1,-6,-18,6,6,-5,-57,1,12,91,122,-8
-2,1,-18,-44,14,-14,-66,-11,15,5,-4,-17,11,11,-3,-63,8,18,92,141,-8
2,6,-14,-42,19,-10,-66,-4,20,11,0,-14,15,15,0,-65,16,23,96,160,-8
11,15,-7,-35,25,0,-61,4,25,15,5,-8,19,20,5,-61,24,28,102,177,-8
20,24,1,-27,33,11,-52,13,29,19,11,-1,22,24,10,-53,31,30,109,191,-8
27,32,9,-19,38,21,-42,22,32,21,17,4,23,27,13,-44,37,30,116,202,-10
30,34,13,-14,39,27,-32,26,33,21,20,7,22,27,13,-35,38,27,119,208,-11
27,30,12,-14,36,28,-26,26,31,18,20,7,18,23,9,-30,35,22,117,211,-12
19,20,7,-16,27,24,-23,20,26,13,16,5,10,14,2,-26,28,15,109,210,-13
9,9,0,-19,15,18,-20,10,20,5,10,2,0,3,-6,-23,18,7,98,208,-13
0,0,-5,-17,3,14,-14,0,12,-5,7,0,-10,-6,-13,-18,7,-3,87,205,-12
-5,-4,-7,-12,-6,12,-5,-8,4,-18,5,1,-19,-14,-18,-11,-1,-14,77,205,-10
-9,-5,-7,-4,-14,12,6,-16,-2,-32,6,5,-25,-20,-21,-1,-8,-25,67,207,-8
-12,-5,-6,1,-19,10,16,-21,-7,-44,8,9,-29,-23,-23,7,-15,-36,57,210,-8
-18,-7,-6,3,-23,5,22,-26,-11,-52,9,12,-32,-26,-25,14,-22,-44,47,212,-9
-26,-13,-9,-1,-27,-2,20,-33,-14,-57,9,12,-35,-29,-27,17,-30,-49,36,210,-11
-35,-20,-14,-9,-31,-10,14,-39,-13,-58,7,11,-35,-30,-28,17,-36,-51,25,205,-14
-43,-28,-19,-18,-33,-18,4,-45,-10,-54,4,10,-34,-29,-27,15,-41,-50,17,196,-16
-49,-35,-24,-27,-35,-25,-5,-50,-7,-48,2,8,-32,-26,-24,10,-46,-47,11,182,-16
-51,-39,-28,-32,-35,-28,-14,-56,-4,-42,0,6,-31,-21,-19,6,-51,-44,10,164,-15
-47,-37,-27,-31,-34,-25,-15,-56,-1,-36,1,6,-27,-14,-11,4,-52,-42,15,143,-12
-38,-29,-20,-23,-29,-17,-10,-50,2,-27,4,7,-21,-5,-2,5,-47,-38,23,119,-8
-27,-16,-8,-12,-22,-5,-1,-38,6,-17,9,9,-13,3,6,8,-38,-33,33,92,-4
-18,-5,2,-2,-16,5,7,-26,13,-6,15,13,-2,12,15,11,-27,-26,40,62,-2
-13,0,11,2,-12,11,11,-15,21,4,21,16,8,19,20,13,-16,-17,43,29,-1
-12,3,16,4,-10,13,11,-7,30,13,25,20,18,24,23,12,-7,-8,42,-5,-1
-14,2,18,2,-8,11,7,-3,39,21,28,22,26,28,24,10,-1,2,38,-38,-2
-16,0,17,0,-7,7,1,-2,49,28,29,24,32,29,23,7,0,12,34,-71,-3
-15,-3,17,-5,-4,2,-4,-1,58,34,29,24,36,31,21,5,2,22,29,-101,-3
-12,-2,19,-7,-1,0,-8,0,66,42,28,25,40,31,20,3,5,31,26,-126,-3
-5,0,22,-8,3,1,-9,4,72,48,29,26,43,32,19,3,6,38,26,-146,-1
1,5,25,-8,7,3,-9,6,75,52,29,28,44,33,18,4,6,43,26,-161,1
7,9,26,-8,10,5,-8,7,74,51,30,30,44,33,16,5,4,45,28,-170,4
13,13,27,-7,11,6,-6,8,71,48,31,31,43,34,15,9,2,45,29,-172,7
16,14,26,-8,10,5,-5,8,68,45,32,33,42,34,13,14,2,44,27,-170,8
16,10,21,-11,7,0,-9,6,67,44,31,34,40,32,12,17,2,44,20,-167,7
10,0,13,-20,2,-11,-18,1,67,43,28,33,36,28,8,19,0,43,9,-166,5
4,-12,4,-29,-4,-24,-28,-7,65,41,24,30,31,23,3,19,-4,40,-2,-167,3
1,-19,0,-34,-8,-31,-33,-13,62,37,22,29,24,18,1,20,-8,36,-10,-166,3
4,-17,0,-31,-8,-30,-29,-15,60,32,23,30,21,17,3,24,-8,32,-13,-162,5
12,-10,7,-23,-6,-24,-19,-11,59,28,27,33,21,19,7,29,-3,29,-12,-153,8
18,-2,14,-15,-3,-16,-8,-5,60,27,31,36,24,22,13,33,2,27,-10,-141,9
19,0,17,-11,-3,-13,-3,-2,61,27,33,37,27,25,17,34,5,27,-11,-130,8
14,-1,15,-13,-5,-14,-2,-1,60,28,32,36,28,27,19,31,3,26,-14,-120,4
7,-7,12,-16,-9,-18,-4,-4,58,28,28,34,26,28,18,27,-1,25,-19,-113,0
1,-11,9,-19,-14,-21,-5,-8,56,26,24,32,23,27,16,23,-8,22,-23,-108,-3
0,-11,9,-17,-18,-21,-2,-10,53,21,22,31,20,27,15,21,-12,19,-28,-104,-3
0,-9,12,-12,-21,-18,2,-12,50,15,21,32,17,26,15,22,-13,17,-34,-99,-1
1,-5,15,-6,-23,-15,7,-12,48,9,22,34,16,25,16,24,-11,15,-42,-94,2
2,-2,18,-1,-25,-12,10,-12,46,4,25,37,15,23,16,26,-9,14,-50,-89,6
4,1,22,4,-26,-8,14,-11,45,0,28,40,16,22,18,30,-5,13,-57,-83,10
8,8,29,10,-24,-3,20,-6,45,-1,32,44,21,22,20,35,1,12,-63,-74,12
15,18,39,19,-19,5,28,3,47,1,38,50,27,23,24,43,11,13,-67,-62,12
21,26,49,27,-12,12,34,13,51,6,42,55,33,25,27,50,21,15,-70,-52,10
18,24,51,25,-10,10,28,18,54,12,41,56,35,23,25,50,25,16,-79,-47,7
7,9,41,12,-12,-2,10,12,52,15,33,51,28,17,15,43,17,16,-90,-46,4
-5,-7,27,-3,-15,-18,-10,0,45,12,21,41,15,7,2,31,3,12,-100,-46,1
-11,-17,16,-13,-15,-29,-24,-8,36,7,11,32,2,0,-8,20,-8,7,-104,-42,0
-9,-17,12,-15,-11,-33,-28,-12,30,2,6,26,-5,-5,-14,14,-12,3,-104,-31,0
0,-7,15,-7,-4,-27,-21,-10,28,-2,6,24,-9,-6,-15,13,-8,0,-99,-14,0
12,8,23,6,3,-17,-6,-3,28,-5,10,25,-8,-4,-11,17,1,-1,-92,8,-1
24,22,30,19,10,-6,8,3,30,-6,14,26,-5,-1,-6,23,11,0,-86,32,-4
26,25,32,23,13,-2,14,6,31,-7,17,26,-3,0,-3,26,17,0,-85,53,-8
21,18,27,19,13,-4,12,4,29,-9,17,23,-3,1,-3,25,16,0,-87,71,-10
13,8,21,11,11,-7,8,2,25,-12,15,18,-4,1,-3,24,14,-1,-88,88,-11
8,1,19,5,12,-8,5,2,20,-12,14,16,-2,2,-1,24,12,-1,-85,102,-8
6,-1,21,3,15,-4,7,5,17,-9,15,16,0,6,3,25,13,0,-78,113,-4
7,-1,24,3,18,0,10,9,15,-5,17,18,5,12,8,27,14,4,-70,119,0
9,0,27,6,20,6,15,13,15,0,19,21,9,18,13,28,16,10,-61,117,1
12,3,30,9,22,11,21,17,16,3,21,23,13,23,17,28,19,16,-53,108,1
15,5,31,11,24,15,23,21,18,6,23,24,16,26,18,26,23,21,-47,91,0
13,3,28,8,23,13,19,22,21,8,22,22,16,25,15,21,26,25,-46,66,-4
9,-1,23,0,21,7,10,19,24,7,19,18,13,20,9,15,25,27,-49,35,-8
4,-6,18,-7,18,1,0,14,25,3,14,13,8,15,4,9,21,25,-53,0,-10
1,-6,18,-10,17,0,-3,10,26,-1,13,13,4,12,1,9,17,20,-56,-32,-9
2,-1,22,-8,18,4,0,10,27,-5,15,17,3,13,5,14,18,17,-57,-61,-4
4,5,28,-3,20,10,5,14,30,-6,20,23,4,16,11,22,20,14,-58,-86,1
3,9,31,0,21,15,11,17,33,-3,25,30,6,19,18,30,23,13,-59,-109,7
0,8,29,0,21,16,13,19,34,0,27,33,8,22,23,37,21,12,-61,-128,10
-6,4,24,-1,21,14,12,18,33,5,27,33,8,23,25,41,16,12,-61,-145,9
-9,-1,18,-3,21,11,10,16,32,10,25,31,8,24,25,43,9,12,-59,-159,5
-11,-5,13,-3,22,10,11,15,32,15,23,29,9,25,26,46,4,14,-56,-167,0
-8,-5,12,-1,25,13,15,17,33,20,24,29,13,28,28,49,3,18,-51,-166,-3
-2,-3,14,2,28,19,23,21,36,25,26,31,19,31,31,54,8,24,-46,-150,-6
2,-1,17,5,30,24,29,27,40,30,29,33,25,34,34,58,15,30,-43,-104,-7
3,-4,16,4,29,26,31,29,41,33,29,33,27,35,33,59,19,35,-41,-13,-9
3,-9,13,2,27,27,30,28,38,32,26,32,24,33,31,57,20,36,-37,139,-13
5,-10,12,2,26,30,30,27,32,28,22,29,18,31,29,55,21,33,-30,363,-19
11,-7,14,5,26,36,34,29,25,22,19,27,13,30,28,52,25,30,-21,647,-27
17,-3,16,9,27,42,38,32,20,17,19,26,11,30,27,48,31,26,-12,952,-35
21,-1,19,13,27,45,40,36,17,13,21,26,12,31,27,44,37,24,-5,1224,-42
21,-2,20,16,26,45,39,40,18,13,24,27,14,33,26,40,41,23,-3,1399,-45
16,-7,19,16,22,40,35,40,21,17,29,30,18,35,26,38,42,23,-7,1432,-44
11,-13,18,17,16,33,30,38,26,24,34,34,22,37,27,38,40,25,-14,1301,-39
8,-14,18,21,11,28,28,36,32,32,40,41,26,43,31,42,38,28,-19,1027,-31
13,-7,24,30,10,31,35,36,37,40,48,51,31,50,38,49,38,34,-20,660,-21
24,6,34,43,12,39,46,39,44,46,57,61,39,59,47,59,44,41,-16,267,-12
36,20,44,54,16,47,58,44,51,52,66,70,49,66,55,67,51,51,-11,-91,-5
42,28,50,59,20,51,64,49,56,56,71,75,57,70,59,71,58,60,-7,-373,0
42,28,49,56,22,49,62,50,59,58,72,74,61,69,58,70,60,66,-7,-562,1
35,22,45,50,21,43,56,49,60,59,68,70,62,65,52,67,58,70,-8,-667,2
27,14,38,43,19,35,49,45,57,59,63,64,61,60,47,62,53,71,-10,-709,3
21,10,35,39,18,30,46,41,53,58,60,60,59,58,44,60,45,71,-10,-711,5
19,11,35,41,18,30,49,39,48,57,59,59,57,59,44,62,39,69,-7,-693,8
20,15,39,45,20,34,55,39,42,54,60,61,55,62,47,67,34,65,-2,-666,11
21,20,44,47,20,38,61,40,37,51,62,63,53,64,49,73,31,61,0,-636,13
18,19,46,46,18,38,61,38,31,47,61,64,48,63,49,76,26,56,0,-608,14
11,14,45,40,14,33,55,33,25,41,56,61,41,58,44,76,21,49,-5,-581,12
4,6,42,33,8,27,46,26,19,35,49,56,32,48,37,72,14,42,-11,-555,9
0,0,40,28,2,21,37,18,14,29,41,50,24,38,29,68,10,36,-16,-528,5
0,-1,40,27,0,18,32,13,12,26,34,46,19,31,24,66,9,32,-19,-499,1
7,2,42,30,0,19,31,12,12,25,30,44,20,28,23,65,14,30,-18,-467,-1
16,9,44,35,3,21,32,14,13,27,28,42,24,28,24,66,22,30,-16,-433,-2
24,16,44,39,7,22,32,17,14,30,25,40,28,29,26,64,31,31,-13,-397,-1
29,20,40,39,10,21,29,19,12,32,21,34,29,29,26,60,36,30,-12,-361,0
30,19,35,36,12,18,23,18,8,32,14,27,24,26,22,52,35,28,-10,-326,2
30,17,30,33,14,15,17,16,2,30,8,20,17,22,16,43,31,25,-9,-294,4
31,16,27,31,14,14,13,14,-2,27,3,14,9,17,11,35,26,21,-6,-264,5
33,17,27,31,15,16,14,14,-7,22,1,11,5,13,6,29,23,17,-5,-236,5
34,18,28,31,15,18,16,14,-9,17,1,11,3,8,2,25,24,14,-4,-210,4
34,17,29,31,13,19,18,15,-9,11,2,12,4,3,-1,22,26,10,-6,-187,1
31,15,28,30,11,18,18,14,-10,4,3,12,2,-2,-7,20,27,4,-9,-165,-1
26,11,26,27,6,15,16,12,-13,-3,2,12,-1,-9,-16,17,23,-2,-13,-143,-4
19,6,22,23,0,12,14,7,-19,-12,1,10,-10,-17,-23,14,14,-11,-15,-121,-6
12,0,18,21,-6,9,12,2,-27,-20,0,9,-21,-23,-29,14,2,-21,-16,-98,-7
6,-2,15,20,-12,8,13,-1,-35,-26,0,8,-29,-26,-30,15,-8,-29,-16,-74,-6
0,-6,12,19,-18,8,13,-3,-40,-29,0,8,-34,-26,-28,19,-18,-35,-16,-49,-4
-7,-11,10,15,-24,5,11,-5,-43,-29,0,7,-35,-26,-23,23,-24,-38,-19,-23,-2
-15,-18,7,10,-28,0,6,-6,-44,-28,-1,4,-35,-26,-20,26,-28,-40,-23,1,-2
-23,-24,5,4,-31,-5,1,-6,-45,-29,-6,0,-36,-28,-19,26,-32,-42,-28,24,-2
-26,-27,5,0,-32,-10,-2,-7,-46,-33,-11,-4,-38,-31,-19,27,-35,-44,-31,46,-2
-24,-25,6,0,-31,-11,-2,-8,-47,-39,-16,-7,-42,-34,-20,28,-39,-47,-31,67,-2
-17,-17,10,3,-29,-8,2,-8,-50,-47,-19,-7,-46,-37,-21,32,-42,-51,-29,87,-1
-7,-8,15,9,-26,-4,8,-8,-50,-53,-19,-3,-48,-38,-20,38,-43,-54,-28,105,0
0,-2,18,12,-24,-1,12,-8,-48,-54,-15,1,-45,-38,-17,43,-43,-54,-30,120,1
0,-2,17,9,-24,-4,9,-9,-44,-51,-12,5,-41,-38,-16,46,-43,-52,-36,133,2
-2,-8,13,1,-27,-11,0,-11,-39,-45,-11,6,-36,-40,-15,44,-46,-48,-45,143,2
-8,-17,7,-9,-29,-19,-11,-14,-34,-40,-11,5,-33,-41,-16,37,-49,-45,-53,152,1
-12,-22,2,-18,-29,-24,-21,-17,-30,-36,-11,2,-31,-40,-17,28,-52,-41,-57,160,0
-11,-22,1,-22,-28,-24,-25,-17,-26,-35,-9,1,-29,-38,-16,19,-52,-39,-55,168,-1
-6,-16,2,-22,-25,-21,-24,-17,-22,-36,-5,2,-26,-34,-14,12,-48,-35,-50,177,-2
-1,-11,3,-22,-23,-19,-23,-17,-18,-36,0,5,-22,-29,-12,7,-43,-32,-45,185,-3
0,-10,2,-25,-24,-21,-25,-20,-14,-37,5,8,-18,-27,-12,1,-38,-28,-42,192,-5
-4,-14,-1,-31,-26,-28,-32,-26,-12,-37,8,8,-17,-29,-17,-4,-37,-26,-45,196,-8
-11,-23,-8,-39,-30,-38,-41,-34,-12,-38,8,7,-18,-34,-25,-10,-40,-25,-52,199,-12
-18,-31,-13,-46,-33,-48,-50,-41,-13,-40,6,5,-21,-40,-35,-15,-44,-26,-60,200,-15
-22,-34,-14,-48,-34,-53,-54,-46,-15,-42,5,6,-22,-44,-41,-15,-48,-28,-67,201,-17
-21,-30,-10,-44,-32,-52,-51,-46,-15,-42,7,10,-21,-44,-42,-11,-47,-28,-69,203,-17
-17,-22,-4,-37,-28,-47,-44,-41,-13,-39,10,16,-14,-38,-36,-1,-43,-24,-68,203,-16
-13,-14,0,-30,-24,-41,-36,-35,-10,-32,13,21,-5,-28,-27,9,-38,-19,-65,200,-14
-12,-10,1,-28,-22,-36,-32,-30,-5,-23,14,22,4,-18,-16,19,-34,-10,-61,191,-12
-13,-12,-1,-29,-21,-35,-32,-28,0,-14,13,20,13,-7,-7,26,-32,-1,-56,177,-10
-15,-17,-7,-32,-19,-35,-33,-27,3,-6,12,16,21,2,1,30,-32,9,-50,158,-7
-16,-22,-12,-35,-17,-33,-32,-27,8,1,12,15,29,12,10,34,-32,18,-43,134,-3
-13,-24,-14,-34,-13,-29,-28,-26,13,7,14,17,36,21,20,38,-29,27,-35,106,0
-8,-22,-11,-30,-9,-23,-20,-23,17,12,18,23,42,29,29,43,-23,32,-27,76,3
-4,-20,-7,-25,-6,-17,-12,-19,19,14,23,30,47,35,36,48,-17,35,-21,42,5
-4,-19,-3,-20,-5,-14,-6,-16,18,14,26,37,47,36,38,52,-13,34,-17,6,6
-8,-22,-3,-19,-7,-15,-3,-17,13,11,26,41,43,32,35,52,-15,29,-17,-29,5
-15,-29,-6,-22,-12,-20,-6,-22,7,5,24,42,34,23,26,49,-21,22,-21,-64,1
-23,-37,-10,-25,-17,-26,-9,-29,0,0,21,41,24,14,16,45,-30,16,-26,-95,-1
-27,-43,-13,-27,-21,-30,-12,-34,-3,-3,20,40,17,7,7,41,-38,11,-31,-119,-4
-26,-45,-14,-27,-23,-31,-14,-37,-4,-3,22,39,14,3,1,40,-40,10,-36,-137,-5
-23,-46,-14,-27,-24,-32,-16,-36,-1,0,25,38,17,2,1,39,-35,12,-41,-147,-6
-19,-45,-13,-27,-24,-33,-19,-33,2,6,28,36,23,5,3,39,-28,16,-43,-152,-5
-16,-45,-12,-28,-22,-35,-24,-30,6,14,30,32,28,9,5,37,-19,19,-43,-153,-5
-13,-44,-13,-29,-20,-36,-27,-28,9,21,30,27,32,12,7,34,-14,21,-39,-150,-5
-10,-42,-12,-29,-17,-34,-28,-27,9,26,27,22,33,15,9,30,-12,21,-31,-145,-4
-5,-37,-9,-25,-13,-29,-25,-25,7,29,23,18,31,18,12,27,-13,19,-20,-139,-3
0,-29,-4,-18,-8,-21,-19,-21,5,32,20,16,29,21,16,23,-13,17,-9,-133,-1
5,-23,1,-11,-4,-14,-14,-16,3,34,18,14,28,24,19,20,-12,15,-1,-127,0
5,-21,4,-8,-3,-11,-12,-11,2,37,17,13,27,25,22,16,-12,15,2,-123,3
2,-22,4,-9,-4,-13,-13,-8,0,40,16,11,27,26,23,12,-12,16,1,-121,4
-3,-26,0,-11,-6,-18,-16,-8,-2,41,15,10,26,25,22,8,-15,16,-1,-119,6
-8,-30,-3,-13,-9,-22,-15,-12,-6,39,15,10,23,22,20,7,-20,15,-4,-116,7
-9,-30,-6,-12,-11,-23,-11,-15,-11,33,15,13,19,19,18,11,-27,11,-5,-111,8
-7,-27,-7,-7,-12,-20,-2,-18,-15,24,17,19,15,17,18,19,-31,6,-5,-103,9
-4,-23,-7,-1,-12,-17,6,-19,-19,14,18,24,10,14,18,30,-33,0,-5,-93,11
-4,-21,-8,1,-14,-15,13,-18,-21,5,18,26,6,9,15,41,-33,-5,-7,-84,12
-7,-24,-10,0,-17,-16,14,-19,-23,-1,16,25,1,2,10,49,-34,-9,-12,-77,12
-12,-29,-13,-3,-21,-20,12,-20,-25,-8,13,22,-3,-4,4,56,-34,-11,-17,-72,11
-17,-34,-15,-8,-24,-23,9,-22,-26,-12,9,18,-7,-9,0,60,-33,-13,-21,-69,9
-23,-39,-18,-14,-27,-27,5,-26,-28,-14,5,14,-11,-14,-5,62,-34,-15,-23,-68,6
-28,-44,-21,-22,-30,-32,0,-32,-31,-16,0,10,-16,-19,-10,59,-39,-17,-24,-68,2
-29,-44,-22,-25,-31,-34,-2,-39,-35,-20,-4,7,-19,-23,-14,55,-42,-19,-22,-66,0
-24,-39,-18,-21,-28,-30,1,-40,-38,-22,-4,6,-20,-24,-16,51,-40,-20,-17,-58,-3
-16,-30,-12,-14,-23,-23,7,-36,-38,-23,-2,6,-18,-23,-17,45,-32,-18,-11,-46,-6
-6,-21,-3,-5,-17,-14,12,-29,-35,-22,1,9,-16,-22,-18,38,-20,-14,-5,-31,-9
1,-13,3,2,-11,-6,15,-21,-30,-21,6,13,-12,-19,-19,31,-8,-9,-1,-16,-12
7,-7,8,8,-8,0,16,-13,-24,-20,11,17,-8,-16,-20,24,3,-5,1,-2,-15
9,-6,10,10,-7,1,12,-8,-18,-19,15,18,-5,-13,-22,17,10,-3,1,9,-18
7,-8,7,8,-8,1,6,-5,-15,-18,16,17,-3,-11,-24,10,13,-1,0,21,-20
4,-12,5,5,-10,0,1,-4,-13,-16,18,16,0,-8,-23,5,14,0,-2,37,-20
4,-14,4,4,-11,0,-1,-2,-11,-12,20,16,4,-5,-19,3,16,0,-2,57,-20
3,-16,4,3,-12,0,-1,0,-10,-6,20,17,8,-2,-13,3,15,2,-2,80,-21
1,-19,3,1,-13,0,-2,-1,-11,0,18,19,9,0,-9,5,11,4,-2,103,-22
-1,-23,2,0,-14,-1,-2,-5,-14,4,14,21,8,1,-6,8,3,3,-1,121,-23
-3,-23,2,0,-13,-1,0,-7,-19,5,11,23,4,2,-3,13,-5,1,1,135,-23
-2,-20,6,3,-11,2,7,-6,-24,7,10,26,2,3,-1,22,-9,-2,5,144,-23
-2,-16,11,8,-9,7,13,-1,-27,9,11,29,2,4,0,32,-7,-4,9,149,-23
-4,-15,14,10,-8,10,17,4,-27,11,15,31,4,5,2,41,-4,-5,10,148,-23
-7,-17,15,10,-8,9,18,8,-26,13,18,33,6,5,4,49,-2,-6,10,139,-25
-8,-18,15,10,-8,9,19,9,-25,12,21,35,7,6,5,57,-2,-7,12,125,-28
-5,-15,18,15,-7,11,25,8,-24,10,25,38,8,7,8,65,-2,-7,16,105,-31
2,-7,23,23,-3,16,35,9,-22,8,30,41,10,12,12,72,-1,-5,24,80,-32
12,3,30,32,1,23,45,10,-18,7,37,45,14,17,16,79,1,0,33,50,-32
21,12,34,37,6,26,50,11,-13,8,43,46,20,22,19,81,6,7,38,18,-29
24,13,34,35,9,24,47,11,-7,11,45,45,25,25,20,78,11,16,37,-16,-24
21,9,29,27,9,16,37,8,-1,16,45,40,30,26,19,72,12,26,33,-48,-20
15,2,21,17,8,7,24,4,2,20,44,35,33,26,18,63,11,33,26,-76,-16
11,-2,14,9,8,1,13,0,5,21,41,31,33,26,18,55,8,37,22,-98,-14
10,-3,12,7,10,0,9,0,6,20,38,29,31,26,19,50,4,37,20,-114,-14
13,0,14,8,14,0,11,1,5,16,36,29,28,27,22,47,1,34,22,-126,-13
16,5,17,11,18,3,15,3,4,11,33,29,25,27,23,46,0,30,23,-135,-12
16,5,17,11,21,3,15,3,2,6,29,29,20,24,21,44,-3,25,21,-142,-11
13,1,13,5,21,-1,11,0,-1,1,22,25,15,19,16,39,-7,20,16,-144,-9
6,-5,6,-1,19,-9,3,-6,-5,-3,15,20,8,11,8,33,-12,13,10,-130,-8
0,-12,0,-7,16,-16,-3,-12,-9,-9,8,13,1,3,0,26,-17,7,4,-83,-9
0,-13,-3,-9,14,-18,-5,-15,-13,-17,3,7,-6,-3,-8,20,-19,0,1,13,-12
2,-8,0,-6,15,-15,-1,-13,-17,-25,0,3,-13,-9,-15,14,-16,-7,3,178,-17
7,0,7,-1,18,-7,5,-7,-21,-34,-1,0,-19,-14,-20,10,-11,-16,6,412,-24
10,6,13,2,20,0,12,0,-27,-44,-3,-4,-27,-20,-27,5,-7,-25,10,699,-32
10,8,16,1,20,3,16,4,-35,-54,-9,-10,-35,-28,-36,0,-6,-34,11,1000,-39
5,4,14,-1,17,4,17,5,-44,-62,-16,-17,-45,-38,-46,-6,-11,-43,11,1258,-43
-1,-2,9,-5,13,1,15,2,-52,-67,-24,-22,-54,-46,-56,-10,-18,-49,9,1415,-43
-6,-9,3,-7,8,-2,15,-2,-56,-68,-29,-24,-59,-51,-62,-9,-25,-53,7,1427,-39
-9,-13,0,-5,3,-6,17,-7,-56,-64,-29,-21,-57,-51,-62,-2,-29,-51,5,1277,-31
-10,-13,-1,0,-1,-8,20,-11,-50,-57,-25,-13,-50,-47,-56,8,-29,-46,2,986,-21
-11,-12,-1,4,-5,-11,22,-14,-43,-49,-20,-4,-40,-40,-47,21,-26,-39,0,609,-12
-13,-11,0,6,-9,-15,21,-16,-36,-41,-14,3,-30,-32,-39,31,-23,-32,-2,210,-4
-17,-12,-2,4,-12,-19,16,-18,-33,-34,-11,8,-24,-25,-33,37,-23,-25,-4,-147,2
-22,-15,-5,0,-15,-23,9,-21,-32,-30,-11,9,-21,-21,-31,39,-26,-21,-5,-425,7
-26,-17,-6,-3,-15,-25,2,-23,-34,-28,-12,8,-22,-18,-30,37,-31,-18,-3,-609,11
-27,-17,-6,-5,-14,-24,-1,-23,-36,-27,-12,7,-23,-15,-30,34,-34,-17,0,-708,14
-25,-16,-3,-3,-12,-21,-4,-20,-36,-26,-11,6,-22,-12,-27,30,-32,-17,3,-742,17
-21,-13,0,-1,-10,-19,-6,-14,-33,-24,-8,6,-18,-10,-24,27,-27,-18,5,-735,19
-17,-10,2,0,-9,-17,-6,-8,-29,-22,-6,7,-14,-8,-20,24,-20,-19,6,-707,18
-14,-7,5,1,-8,-16,-7,-2,-26,-21,-3,6,-10,-7,-18,21,-14,-20,8,-670,17
-11,-3,7,1,-7,-15,-6,1,-25,-21,-3,6,-8,-6,-17,19,-11,-21,12,-632,16
-7,1,8,2,-7,-13,-3,3,-27,-25,-4,5,-9,-6,-16,19,-12,-22,18,-596,15
-3,7,11,3,-6,-8,2,4,-31,-30,-5,5,-12,-7,-16,19,-14,-23,26,-562,15
0,13,14,6,-5,-2,10,5,-35,-36,-6,6,-15,-8,-15,21,-16,-24,33,-527,14
4,18,16,9,-5,2,17,6,-38,-40,-6,6,-15,-9,-15,22,-14,-23,38,-492,13
5,19,16,10,-5,3,21,8,-38,-40,-7,5,-14,-10,-14,22,-11,-21,38,-455,9
