FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
37,1,41,6,25,-13,4,18,5,3,23,20,23,10,-5,38,28,24,9,57,-17
36,2,39,2,26,-13,2,20,10,11,25,19,30,13,-3,37,32,31,14,53,-17
40,8,40,5,29,-9,5,23,15,18,29,21,38,16,0,37,37,38,20,44,-16
46,17,45,12,33,-1,12,29,20,23,34,24,45,20,3,38,43,43,27,31,-14
52,26,52,21,38,7,19,34,25,28,40,27,53,23,7,39,50,49,33,9,-12
56,33,58,28,42,13,24,38,31,34,45,30,60,26,10,40,55,55,37,-18,-9
55,32,58,29,44,14,22,38,36,39,48,32,65,26,10,37,57,61,36,-54,-6
47,23,51,22,43,6,13,31,37,43,47,29,65,23,5,30,50,65,32,-94,-4
38,13,42,14,41,-1,4,21,35,42,43,25,62,18,0,23,39,66,29,-132,-1
35,9,38,11,41,-3,2,15,30,38,40,22,59,15,-2,20,32,63,31,-164,1
36,12,38,13,43,-1,6,15,26,35,38,20,57,13,-1,20,30,61,37,-188,3
38,15,41,15,47,2,12,17,23,31,37,20,56,11,-1,22,30,58,43,-205,5
40,18,44,16,50,5,16,20,20,27,36,20,54,10,0,24,31,56,49,-218,5
41,19,46,15,52,7,18,21,18,23,35,22,52,11,3,27,32,54,54,-226,5
40,18,46,13,52,6,17,19,16,19,35,24,50,12,5,30,30,52,57,-230,5
38,15,43,9,50,3,14,14,14,14,35,25,47,12,6,32,27,50,59,-223,5
38,14,40,8,47,3,12,9,13,7,35,27,44,13,8,34,23,47,61,-194,5
40,15,40,9,46,4,13,7,14,1,36,27,43,15,9,36,24,44,63,-127,5
42,18,41,10,46,4,13,9,18,-2,38,27,44,15,9,36,28,40,62,-5,2
41,17,39,8,44,1,10,12,22,-4,36,23,44,13,7,33,32,37,59,183,-2
36,14,35,3,41,-3,5,12,22,-7,32,17,40,7,1,27,33,30,55,435,-11
34,12,32,0,39,-6,3,11,18,-12,24,10,32,1,-5,21,31,21,56,731,-23
35,15,33,3,39,-3,8,11,11,-19,18,5,22,-4,-10,19,28,10,64,1028,-33
41,22,38,12,39,5,19,12,2,-24,14,3,14,-8,-11,20,28,0,77,1266,-41
46,28,43,21,39,15,31,14,-4,-26,11,5,9,-9,-10,24,28,-9,92,1387,-43
45,29,47,28,35,21,39,15,-6,-23,10,7,8,-8,-9,29,26,-13,102,1351,-39
39,24,46,29,28,20,41,14,-5,-16,8,9,11,-7,-7,34,23,-14,105,1152,-30
27,13,42,26,19,15,39,11,-1,-6,6,9,14,-7,-6,37,16,-11,101,825,-17
15,3,36,22,8,8,35,5,4,3,4,8,17,-7,-6,39,8,-7,94,429,-4
6,-1,33,21,0,4,33,0,8,13,3,7,18,-7,-6,40,1,-4,87,34,7
2,-1,32,23,-6,3,35,-2,12,21,4,8,18,-6,-4,42,-4,-2,81,-300,17
2,2,34,27,-10,5,38,-5,14,27,6,9,18,-5,-3,44,-6,0,76,-545,23
3,6,35,30,-12,5,39,-6,16,32,9,10,18,-4,-1,45,-7,0,70,-695,27
2,5,34,29,-14,3,35,-8,18,38,10,11,18,-3,-1,43,-7,0,62,-767,28
-2,0,30,23,-16,-3,26,-11,18,44,8,8,17,-5,-2,39,-9,2,52,-784,29
-8,-7,24,15,-17,-12,14,-15,16,49,4,4,14,-8,-5,32,-13,3,41,-769,28
-12,-13,20,7,-17,-19,3,-18,13,52,0,0,10,-11,-8,26,-16,5,32,-739,27
-14,-16,18,2,-16,-22,-2,-19,8,53,-4,-4,6,-13,-9,22,-18,7,25,-704,24
-12,-15,19,2,-13,-22,-3,-18,4,53,-7,-7,3,-13,-9,20,-19,9,21,-667,21
-7,-10,23,6,-10,-18,0,-14,0,52,-6,-7,2,-10,-7,20,-16,12,20,-632,17
-1,-3,29,13,-6,-11,7,-9,0,52,-4,-6,4,-7,-3,23,-11,16,19,-597,13
5,4,35,20,-2,-4,15,-2,0,53,0,-4,8,-2,1,25,-4,22,19,-564,10
9,9,39,25,0,1,21,3,1,55,2,-1,12,1,4,27,1,27,18,-530,9
12,14,42,28,2,6,26,7,2,56,5,0,14,4,6,29,4,31,17,-496,8
14,17,43,30,3,11,30,11,3,56,7,0,14,5,5,30,5,32,16,-460,9
15,20,45,30,4,15,33,15,2,53,7,0,13,4,3,29,7,31,14,-423,9
16,22,45,28,4,18,34,18,2,50,5,0,11,2,0,28,8,28,11,-386,9
17,24,44,26,4,20,33,22,2,46,3,-2,10,0,-2,26,11,24,6,-351,7
19,25,43,24,4,21,31,24,2,42,1,-4,9,-4,-5,22,15,21,1,-318,6
21,25,41,21,4,21,28,24,2,37,-1,-5,6,-7,-8,18,18,19,-3,-289,4
23,24,39,19,5,21,24,22,3,32,-3,-6,2,-10,-10,13,17,17,-8,-262,3
25,23,38,18,6,20,22,18,3,26,-5,-7,-3,-12,-13,9,14,15,-11,-237,3
27,23,38,19,7,20,21,14,4,21,-5,-6,-7,-13,-14,7,11,13,-15,-211,4
